predicted_fraction,error_value,error_rate,stretch
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.6666666666666667
0.0312,0.0,1.0,2.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,2.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.6666666666666667
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,2.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,0.0,1.0
0.0312,0.0,1.0,2.0
0.0312,0.0,1.0,2.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,0.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,3.0
0.0312,0.0,1.0,1.0
0.0312,0.0,1.0,1.0
0.0625,0.0,1.0,1.25
0.0625,0.0,1.0,1.0
0.0625,0.0,1.0,1.4166666666666667
0.0625,0.0,1.0,1.0
0.0625,0.0,1.0,1.4166666666666667
0.0625,0.0,1.0,1.1666666666666667
0.0625,0.0,1.0,1.0
0.0625,0.0,0.5,1.5
0.0625,0.0,1.0,1.25
0.0625,0.0,1.0,1.25
0.0625,0.0,1.0,1.0
0.0625,0.0,0.75,1.0
0.0625,0.0,1.0,1.0
0.0625,0.0,1.0,1.25
0.0625,0.0,1.0,1.0
0.0625,0.0,1.0,1.25
0.0625,0.0,1.0,1.0
0.0625,0.0,0.75,1.25
0.0625,0.0,0.75,1.25
0.0625,0.0,0.75,1.0
0.0625,0.0,1.0,1.0
0.0625,0.0,0.5,1.0
0.0625,0.0,0.75,1.0
0.0625,0.0,1.0,1.25
0.0625,0.0,1.0,1.0
0.0625,0.0,1.0,1.0
0.0625,0.0,0.75,1.0
